id;Name;Title;Publication;Year;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Music;Composer;Music_year;Source;Notation;Music_gtitle;Comment_m;;
1;-въ;Звезда, звезда;Цинтия на 1832. М., 1831. С. 132-133;1831;Песня;;1831;periodical;Я21мд;reg;unrhymed;core;;;;;;;;;
2;Б/П;Что ты, конь-донец лихой;Литературная газета, 1840, № 13, февраля 14. С. 298;1840;Конь;;1840;periodical;Х4ммжмжм;unreg;rhymed;core;;;;;;;;;
3;Б/П;Ты почем, сердечко;Литературная газета, 1840, № 61, 31 июля. С. 1365;1840;К сердечку;;1840;periodical;Х3ж;unreg, сбои, сверхсхемные, амф;occ;core;;;;;;;;;
4;Одоевский, А.И;Как носятся тучи за ветром осенним;Современник, 1853, № 11, с. 59. Одоевский, А.И. Полное собрание стихотворений князя А.И. Одоевского. СПб., 1883. С. 92 (+ БП 1958);1831;К ***;приписываемое Одоевскому;1853;periodical;Аф3;reg;unrhymed;core;;;;;;;;;
5;N.N.;Ах, знаю я, красавица;Лит.прибав. Рус. Инвалид. 1833, № 20, март 11, С. 159;1833;Русская песня;;1833;periodical;Я3дм;unreg, cбивается на Я4м в Я3д;rhymed;core;;;;;;;;;
6;А.Д.;Ветер бурный воет в поле;Вестн. Европы. - 1825. - Май и июнь, N 11. - С.218-219.;1824;Песня;;1825;periodical;Х223ж;reg;unrhymed;core;;;;;;;;;
7;Авдуловский;Ляжу я засну;Литературная газета М., 1847. № 16, 16 апреля. С. 254-255;1847;Ляжу я засну;мы получили из Воронежа девять стихотворений от г-на Авдуловского… представим самим читателям сделать заключение о достоинстве этих стихотворений, подобных которым немного на русском языке;1847;periodical;Пс;reg;unrhymed;core;;;;;;;;;
8;Ал. Бистром;Ласточка летит из-за моря;Лит.прибав. Рус. Инвалид. 1835, № 21, март 13,, С. 167;1835;Песня;;1835;periodical;Х4д;reg;unrhymed;core;;;;;;;;;
9;Ал. Бистром;В воскресный день все девушки;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 110-111;1826;Песня;;1826;periodical;Я3дм;reg;occ;core;;;;;;;;;
10;Аладьин, Е.В.;Ах не ветры не осенние;Аладьин, Е.В. Мои досуги. СПб., 1824.;1824;Песня;;1824;collection;х4д;reg;occ;core;;;;;;;;;
11;Алипанов, Е.И.;Дуня милая сидела под окном;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 23-25;1830;;;1830;collection;Х6м;reg;rhymed;core;;;;;;;;;
12;Алипанов, Е.И.;С тоскою унылой пришел я на луг;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 31-32;1830;Грусть по милой;;1830;collection;Аф4м;reg;rhymed;periph;;;;;;;;;
13;Алипанов, Е.И.;Радость поселянки;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 28-29;1830;;;1830;collection;Я3жм;reg;rhymed;periph;;;;;;;;;
14;Алипанов, Е.И.;Полети голубок;Стихотворения крестьянина Егора Алипанова. СПб., 1830. 38-39;1830;Голубок. Песня;;1830;collection;Ан22м11ж + Х4м;reg;rhymed;periph;;;;;;;;;
15;Алипанов, Е.И.;Весна придет;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 46-47;1830;Поселянка ожидающая весны;;1830;collection;Я223м;reg;rhymed;periph;;;;;;;;;
16;Алипанов, Е.И.;Соскучилось Машеньке;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 133-1345;1830;Сельская песня;;1830;collection;Аф2дм;reg;rhymed;core;;;;;;;;;
17;Алипанов, Е.И.;Над быстрою реченькой;Алипанов, Е.В. Ханский чай. СПб., 1835. С. 11;1835;;;1835;collection;Аф2дм;reg;rhymed;core;;;;;;;;;
18;Алипанов, Е.И.;Ох вы чарки покатушки;Алипанов, Е.В. Ханский чай. СПб., 1835. С. 50-51;1835;;;1835;collection;Х4ж;reg;rhymed;periph;;;;;;;;;
19;Алипанов, Е.И.;Наступил, настал нам последний век;Алипанов, Е.В. Ханский чай. СПб., 1835. С. 61;1835;;;1835;collection;Пс2;reg;unrhymed;periph;;;;;;;;;
20;Асконченский, В.;Не ходи за старого;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 102-104;1839;Выбор жениха;;1839;collection;Х3дм;reg;rhymed;core;;;;;;;;;
21;Асконченский, В.;Вишь как рвет как гудит;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 105-107;1840;Вьюга;;1840;collection;Ан2мАн1д;reg;unrhymed;core;;;;;;;;;
22;Асконченский, В.;Не ходи ко мне;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 130-133;1843;Русская песня;;1843;collection;Пс;unreg, + Ан2м;unrhymed;core;;;;;;;;;
23;Асконченский, В.;Эх зачем же ты;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 136-139;1837;Жалоба;;1837;collection;Пс;unreg, + Ан2м;unrhymed;core;;;;;;;;;
24;Асконченский, В.;Что задумался;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 144-147;1846;Кручина;;1846;collection;Пс, Х3ж;reg;occ;core;;;;;;;;;
25;Асконченский, В.;Погляди родимая;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 155-158;1843;Неведомая кручина (посвящ. Т.Г. Шевченке);;1843;collection;Х3дм;reg;rhymed;periph;;;;;;;;;
26;Асконченский, В.;Ну ка Ваня выпьем что ли;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 176-178;1843;Разгулье русского человека;;1843;collection;Х4жм;reg;rhymed;periph;;;;;;;;;
27;Астафьев, В.;С горем юноша печальный;МТ, 1826. Ч.11., отд. 2, с. 7-8;1826;Песня;;1826;periodical;Х4жм;reg;rhymed;periph;;;;;;;;;
28;Б/П;Настенька в пятнадцать лет;Весенние цветы, подарок для светлого праздника на 1830 г. М., 1830. С. 146-148;1830;Русская песня (на голос: Как у нас было на улице);С. 150-151. Григорий Поликарпович Бубнов, молодой семнадцатилетний  крестьянин, обещает в себе талант к стихотворению. Надеемся, что публике приятно будет узнать, что к именам Слепушкина, Суханова, Борисова присоединится еще одно имя - самоучки Бубнова;1830;periodical;Х4м;reg;rhymed;core;;;;;;;;;
29;Б/П;Пал туман на чисто поле;Невский альманах на 1825 г. СПб. 1825. С. 115-118;1825;Песня;;1825;periodical;Х42ж (Х6ж?);reg;unrhymed;periph;;;;;;;;;
30;Б/П;Где ты звездочка;Эрато, приношение прекрасному полу. М. 1829 г. (тип. Н. Степанова) C. 110-111. ц.р. 1828 мая 18 дня;1828;;СМ. БУШМАКИН АХ ТЫ ТУЧА;1828;periodical;Пс;reg;unrhymed;core;;;;;;;;;
31;Бахтурин, К.А.;Не леса шумят не погодушка;Поэты 1820-1830-х гг. Л., 1972. Т.2. С.353-354.;1836;Хор разбойников (из драмы козьма рощин, рязанский разбойник);;1836;collection;Пс2 + Пс (Ан4  + Пс);unreg;rhymed;core;;;;;;;;;
32;Бахтурин, К.А.;Аль опять не видать;Пантеон русского и всех европейских театров, 1840, ч. 4, с. 37. Поэты 1820-1830-х гг. Л., 1972. Т.2. С.359-360.;1840;Песнь ямщика;См. отзыв ОЗ 1841, № 3, с. 13;1840;periodical;Ан1м + Х3ж;reg;rhymed;core;melody;Титов, Н.А.;1842;Песня ямщика: аль опять не видать. Сл. К. Бахтурина. Посвящается графу Михаилу Юрьевичу Виельгорскому. Спб., Менестрель, [1842]. 3 с. ВМОМК им. М.И. Глинки;Для голоса с фортепиано;Песня ямщика;Гурилев, А.А. М., 1840;1840;
33;Бахтурин, К.А.;Уж как пал на сине море;Литературная газета, 1845, 5 июля, с. 426. Поэты 1820-1830-х гг. Л., 1972. Т.2. С.361.;1845;Песня цыганки;;1845;periodical;Х4мж;reg;rhymed;periph;;;;;;;;;
34;Башмакин, Н.;Голубочек, что воркуешь;Славянин. 1827. Ч. 1. № 9, С. 140.;1827;Песня, УД;;1827;periodical;Х4мж;reg;rhymed;core;;;;;;;;;
35;Башмаков, И.И.;Что ты белый крепкий лен мой;Ваненко, И. Звездочка. М., 1842. С. 63-64;1842;Цикл русские песни;;1842;collection;Х42жд;reg;unrhymed;core;;;;;;;;;
36;Башмаков, И.И.;Скучно мне подруженьки;Ваненко, И. Звездочка. М., 1842. С. 81-82;1842;Цикл русские песни;;1842;collection;Х3д;reg;occ;core;;;;;;;;;
37;Башмаков, И.И.;Ты тоска моя;Ваненко, И. Звездочка. М., 1842. С. 83-84;1842;Цикл русские песни;;1842;collection;Пс;reg;unrhymed;core;;;;;;;;;
38;Башмаков, И.И.;Где ты душечка;Ваненко, И. Звездочка. М., 1842. С. 87-90;1842;Цикл русские песни;;1842;collection;Пс;reg;unrhymed;core;;;;;;;;;
39;Башмаков, И.И.;Не то было время;Ваненко, И. Звездочка. М., 1842. С. 90-92;1842;Цикл русские песни;;1842;collection;Х3жм;reg;occ;core;;;;;;;;;
40;Башмаков, И.И.;То не горлица воркует;Ваненко, И. Звездочка. М., 1842. С. 92-94;1842;Цикл русские песни;;1842;collection;Х4жм;reg;rhymed;core;;;;;;;;;
41;Башмаков, И.И.;Было время времечко;Ваненко, И. Звездочка. М., 1842. С. 94-96;1842;Цикл русские песни;;1842;collection;Х32дж;reg;rhymed;core;;;;;;;;;
42;Башмаков, И.И.;Он ласкал ее;Ваненко, И. Звездочка. М., 1842. С. 97-98;1842;Цикл русские песни;;1842;collection;Пс;reg;occ;core;;;;;;;;;
43;Башмаков, И.И.;Так то ты со мной мой милый;Ваненко, И. Звездочка. М., 1842. С. 99-101;1842;Цикл русские песни;;1842;collection;Х4жм;reg;rhymed;core;;;;;;;;;
44;Башмаков, И.И.;Ты душа моя девица;Ваненко, И. Звездочка. М., 1842. С. 101-103;1842;Цикл русские песни;;1842;collection;Х4жм;reg;rhymed;core;;;;;;;;;
45;Башмаков, И.И.;Как разгневалась, разобиделась;Ваненко, И. Звездочка. М., 1842. С. 104-107;1842;Цикл русские песни;;1842;collection;Пс;reg;unrhymed;core;;;;;;;;;
46;Башмаков, И.И.;Не о том ли ты девица;Ваненко, И. Звездочка. М., 1842. С. 107-109;1842;Цикл русские песни;;1842;collection;Х42мд (Х4+Пс);reg;rhymed;core;;;;;;;;;
47;Башмаков, И.И.;Так то я частехонько;Ваненко, И. Звездочка. М., 1842. С. 109-111;1842;Цикл русские песни;;1842;collection;Х34дж;unreg;unrhymed;core;;;;;;;;;
48;Башмаков, И.И.;Ах никто того не ведает не знает;Ваненко, И. Звездочка. М., 1842. С. 109-111;1842;Цикл русские песни;;1842;collection;Х6ж;reg;occ;core;;;;;;;;;
49;Башмаков, И.И. (без подписи публ.???);Высыпайте, снега белые;Литературная газета.М., 1840. № 96,30 ноября, С. 2200 (Звездочка Ив. Ваненко. С. 85-87);1840;Песня;в сборнике - в цикле русские песни, за основу - вариант сборника;1840;periodical;Х4д + Ан2д;unreg;unrhymed;core;;;;;;;;;
50;Берг, Н.;Уж ты слышишь ли;Московский городской листок. М., 1847, № 20, 24 янв. С. 80;1847;Русская песня;января 19;1847;periodical;Пс;reg;unrhymed;core;;;;;;;;;
51;Бернет, Е.;Я сегодня в огороде;СО, 1837. Ч. 185., с. 267-269;1837;Скорбь Елены-молдаванки;;1837;periodical;Х43жм;unreg(сверхсхемные);occ;core;;;;;;;;;
52;Бестужев, М.А.;Что ни ветр шумит во сыром бору;Гурилев, Что ни ветр шумит. М., 1834 (ноты);1830;;на голос: уж как пал туман на сине море;1834;music;Пс2;reg;rhymed;periph;melody;Гурилев, А.А.;1834;М., 1834;;;Первая публикация с музыкой?;1830;
53;Баратынский;Страшно воет завывает;СО, 1821, ч.68, № 10. С. 134-135;1821;Русская песня;;1821;periodical;Х42ж;reg;unrhymed;core;melody;Романус, И.В.;NA;Страшно воет ветр осенний. Баллада.Сл. Е. Баратынского. Музыку посвящает М.Д. Берг-Штерн И.В. Романус. Спб., Гольц,б.г. РНБ;Для голоса с фортепиано;Баллада;;;
54;Бубнов, Г.П.;Ненаглядное красно солнышко;Весенние цветы, подарок для светлого праздника на 1830 г. М., 1830. С. 151-153;1830;Сельская песня;;1830;periodical;Пс;reg;unrhymed;core;;;;;;;;;
55;Бушмакин, Н.;Не труби труба;Благонамеренный, 1826, ч. 34, № 9, с. 173-175;1826;Песня;;1826;periodical;Пс + Д1;reg;occ;core;;;;;;;;;
56;Бушмакин, Н.;Ах ты солнце нанаглядное мое;Славянин, 1828, ч.5.№ 6. С. 214;1827;Песня;;1828;periodical;Х6м;reg (Ан1м + Х4м);unrhymed;core;;;;;;;;;
57;Бушмакин, Н.;Ах ты туча;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 68-69;1826;Песня;;1826;periodical;Х2мд;reg (Ан1м + Пс);unrhymed;core;;;;;;;;;
58;Бушмакин, Н.;Опущу я золотое;Невский альманах на 1827 г. СПб., 1826. С. 179;1826;Песня;;1826;periodical;Х4жм;reg;unrhymed;core;;;;;;;;;
59;Бушмакин, Н.;Ты светись мое кольцо;Памятник отечественных муз на 1828 г. СПб., 1828. С. 169-170;1828;Русская песня;;1828;periodical;Х42443мжммж;reg(специфическая напевная строфа?;occ;core;;;;;;;;;
60;Бушмакин, Н.;Песню выслушай мою;СО, 1832, т. 27. , ч. 149, с. 226;1832;Песня;;1832;periodical;Х43443мж;reg (нетрадиционная строфика, рефренные штуки;occ;core;;;;;;;;;
61;В.И.;Ах ты сердце бедное;Литературная газета 1847. № 8, 20 февраля. С. 116;1847;Песня;;1847;periodical;Х3д + Пс;reg;rhymed;core;;;;;;;;;
62;Вельтман, А.Ф.;Что отуманилась зоренька ясная;Муромские леса. Повесть в стихах. Соч. Александра Вельтмана. М., 1831.;1831;;;1831;collection;Д43дм;reg;rhymed;core;melody;Кашин, Д.Н.;1835;Зоренька: что отуманилась, зоренька ясная. Слова А.Ф. Вельтмана. Музыка для пения с аккомпаненментом фортепиано Д.Н. Кашина. М., 1835. РГБ;Музыка для пения с аккомпанементом фортепиано;Зоренька;Иогель, И. Спб., 1832;1832;Алябьев, 1834 (“Кавказский певец”), Варламов А.Е. 1833 “Песнь разбойника (“Муз. Альб. На 1833. М., Гесслер), Осипов, В. 1843 (Спб., Бернард)
63;Вельтман, А.Ф.;Загрустила зоря, зоря-зоренька;Поэты 1820-1830-х гг. Л., 1972.;1832;;;1833;collection;Пс2;reg;unrhymed;core;;;;;;;;;
